iter	RMSE
0	8.825631047
1	8.801684518
2	8.780721051
3	8.756552856
4	8.739067582
5	8.721188817
6	8.705102921
7	8.685332627
8	8.661249149
9	8.641851373
10	8.631189131
11	8.614619704
12	8.601015267
13	8.592008612
14	8.581901109
15	8.575135585
16	8.568244722
17	8.559922969
18	8.54662112
19	8.535198227
20	8.526894316
21	8.520517667
22	8.511819303
23	8.506898265
24	8.49633761
25	8.487268863
26	8.477733407
27	8.466467148
28	8.46126286
29	8.454372182
30	8.444915064
31	8.435629273
32	8.428817198
33	8.420603652
34	8.412218526
35	8.409085995
36	8.40154381
37	8.398063875
38	8.390718563
39	8.386389961
40	8.383364561
41	8.377876293
42	8.372374496
43	8.363494037
44	8.359042356
45	8.352003529
46	8.347531683
47	8.343254977
48	8.33924261
49	8.333923951
50	8.330558701
51	8.326118467
52	8.323132016
53	8.318375185
54	8.313426939
55	8.310308113
56	8.307219059
57	8.302591061
58	8.298257486
59	8.292928039
60	8.291193042
61	8.289115219
62	8.284992227
63	8.2826121
64	8.279783898
65	8.27738629
66	8.274289513
67	8.272275529
68	8.269942478
69	8.266736373
70	8.263078441
71	8.260525893
72	8.257713472
73	8.255821815
74	8.251922681
75	8.250762294
76	8.24907021
77	8.244837334
78	8.241200412
79	8.239107687
80	8.235974946
81	8.233844625
82	8.23161778
83	8.228874948
84	8.226729464
