iter	Passed	Remaining
0	60	60350
1	119	59643
2	181	60317
3	233	58104
4	289	57568
5	341	56569
6	398	56564
7	457	56735
8	509	56110
9	561	55566
10	619	55702
11	677	55758
12	740	56186
13	793	55889
14	850	55826
15	901	55444
16	959	55463
17	1016	55469
18	1071	55325
19	1130	55405
20	1183	55167
21	1241	55181
22	1295	55036
23	1349	54890
24	1407	54879
25	1464	54879
26	1520	54791
27	1570	54522
28	1628	54528
29	1683	54419
30	1741	54425
31	1792	54211
32	1843	54011
33	1901	54011
34	1952	53846
35	2010	53832
36	2067	53805
37	2124	53773
38	2181	53764
39	2239	53750
40	2291	53591
41	2350	53624
42	2403	53497
43	2457	53391
44	2514	53368
45	2565	53210
46	2618	53084
47	2671	52985
48	2727	52942
49	2787	52958
50	2844	52930
51	2902	52907
52	2960	52895
53	3011	52757
54	3063	52643
55	3116	52533
56	3166	52390
57	3221	52322
58	3272	52186
59	3323	52069
60	3373	51927
61	3427	51851
62	3480	51765
63	3535	51707
64	3593	51688
65	3647	51614
66	3699	51511
67	3756	51487
68	3809	51397
69	3861	51298
70	3910	51170
71	3965	51106
72	4018	51023
73	4075	50997
74	4134	50988
75	4193	50978
76	4253	50986
77	4311	50958
78	4369	50938
79	4421	50843
80	4477	50795
81	4525	50666
82	4580	50605
83	4640	50606
84	4693	50526
85	4753	50524
86	4814	50520
87	4872	50495
88	4926	50422
89	4979	50349
90	5037	50324
91	5091	50248
92	5142	50151
93	5198	50104
94	5251	50030
95	5303	49942
96	5353	49832
97	5410	49802
98	5470	49790
99	5525	49725
100	5576	49632
101	5629	49563
102	5685	49515
103	5744	49487
104	5796	49404
105	5846	49308
106	5900	49240
107	5960	49228
108	6016	49184
109	6070	49114
110	6122	49037
111	6180	48999
112	6235	48944
113	6292	48905
114	6353	48896
115	6406	48821
116	6465	48797
117	6517	48716
118	6571	48651
119	6622	48567
120	6674	48487
121	6728	48425
122	6783	48365
123	6835	48289
124	6889	48224
125	6940	48144
126	6992	48063
127	7043	47981
128	7100	47939
129	7154	47877
130	7206	47801
131	7256	47717
132	7308	47643
133	7367	47612
134	7420	47549
135	7475	47492
136	7532	47451
137	7588	47401
138	7650	47390
139	7701	47312
140	7754	47244
141	7810	47192
142	7863	47125
143	7922	47096
144	7980	47059
145	8034	46994
146	8091	46950
147	8147	46904
148	8207	46877
149	8262	46819
150	8316	46760
151	8377	46734
152	8438	46716
153	8497	46681
154	8551	46619
155	8611	46588
156	8668	46542
157	8729	46520
158	8779	46436
159	8831	46367
160	8883	46292
161	8936	46224
162	8988	46156
163	9046	46113
164	9102	46061
165	9163	46036
166	9221	45995
167	9278	45948
168	9332	45889
169	9384	45818
170	9439	45762
171	9497	45719
172	9553	45670
173	9605	45597
174	9660	45542
175	9726	45536
176	9783	45490
177	9838	45435
178	9894	45380
179	9952	45338
180	10004	45270
181	10058	45209
182	10119	45178
183	10172	45113
184	10226	45052
185	10285	45011
186	10338	44948
187	10397	44907
188	10455	44862
189	10513	44818
190	10572	44780
191	10636	44762
192	10696	44726
193	10750	44666
194	10808	44621
195	10864	44568
196	10928	44547
197	10980	44475
198	11032	44406
199	11093	44372
200	11144	44301
201	11205	44265
202	11258	44202
203	11308	44126
204	11361	44062
205	11417	44006
206	11473	43953
207	11535	43925
208	11597	43891
209	11650	43829
210	11706	43775
211	11757	43702
212	11810	43636
213	11863	43575
214	11918	43517
215	11983	43494
216	12036	43430
217	12094	43386
218	12144	43310
219	12196	43242
220	12255	43199
221	12316	43162
222	12373	43113
223	12426	43049
224	12485	43005
225	12541	42951
226	12596	42893
227	12659	42865
228	12710	42792
229	12760	42720
230	12817	42668
231	12871	42609
232	12923	42541
233	12980	42491
234	13032	42425
235	13096	42397
236	13156	42355
237	13215	42311
238	13271	42257
239	13329	42210
240	13383	42149
241	13435	42082
242	13491	42027
243	13543	41963
244	13599	41908
245	13656	41858
246	13712	41802
247	13771	41757
248	13822	41690
249	13877	41631
250	13931	41572
251	13989	41523
252	14039	41453
253	14089	41381
254	14143	41322
255	14195	41256
256	14252	41204
257	14312	41162
258	14366	41101
259	14416	41031
260	14473	40979
261	14538	40953
262	14592	40892
263	14649	40840
264	14704	40783
265	14759	40726
266	14819	40684
267	14876	40632
268	14935	40587
269	14996	40545
270	15055	40500
271	15114	40454
272	15175	40411
273	15229	40353
274	15284	40296
275	15339	40238
276	15396	40185
277	15448	40122
278	15501	40059
279	15557	40003
280	15616	39957
281	15668	39894
282	15720	39829
283	15776	39775
284	15837	39731
285	15891	39673
286	15950	39625
287	16002	39561
288	16062	39517
289	16121	39470
290	16176	39413
291	16240	39377
292	16294	39318
293	16350	39263
294	16412	39221
295	16467	39166
296	16520	39103
297	16578	39054
298	16636	39003
299	16692	38950
300	16749	38897
301	16805	38842
302	16863	38792
303	16919	38737
304	16974	38680
305	17032	38629
306	17085	38567
307	17138	38505
308	17191	38443
309	17245	38385
310	17300	38327
311	17356	38272
312	17412	38218
313	17472	38173
314	17529	38118
315	17584	38062
316	17635	37997
317	17690	37939
318	17746	37885
319	17808	37842
320	17866	37793
321	17928	37749
322	17982	37690
323	18042	37643
324	18101	37595
325	18162	37550
326	18215	37489
327	18276	37444
328	18330	37385
329	18386	37330
330	18449	37288
331	18507	37238
332	18562	37180
333	18614	37117
334	18676	37074
335	18730	37015
336	18784	36955
337	18846	36912
338	18902	36858
339	18963	36811
340	19024	36766
341	19079	36708
