iter	Passed	Remaining
0	5	466
1	10	453
2	16	442
3	21	437
4	26	428
5	31	421
6	37	416
7	42	409
8	48	408
9	53	403
10	59	397
11	64	393
12	69	386
13	75	381
14	81	378
15	86	372
16	91	367
17	97	361
18	102	356
19	107	350
20	113	345
21	118	339
22	123	333
23	129	328
24	134	322
25	139	317
26	145	311
27	150	306
28	156	302
29	161	296
30	167	291
31	172	285
32	178	281
33	183	275
34	190	271
35	195	266
36	200	260
37	206	255
38	211	249
39	217	244
40	222	238
41	227	233
42	232	227
43	238	222
44	244	217
45	249	211
46	255	206
47	260	201
48	266	195
49	272	190
50	277	185
51	283	179
52	288	174
53	294	168
54	299	163
55	304	157
56	310	152
57	315	147
58	321	141
59	326	136
60	332	130
61	337	125
62	343	119
63	349	114
64	354	108
65	359	103
66	364	98
67	370	92
68	375	87
69	381	81
70	387	76
71	392	70
72	397	65
73	402	59
74	408	54
75	414	49
76	419	43
77	425	38
78	431	32
79	437	27
80	442	21
81	447	16
82	452	10
83	458	5
84	463	0
