iter	MultiClass
0	1.372587882
1	1.358906426
2	1.346202955
3	1.333712369
4	1.320096979
5	1.308399002
6	1.297059535
7	1.286089465
8	1.275383492
9	1.265480957
10	1.25736116
11	1.249334135
12	1.242485872
13	1.235085339
14	1.228545795
15	1.220914533
16	1.214031278
17	1.208489351
18	1.201085222
19	1.19457271
20	1.187923061
21	1.181733493
22	1.176087116
23	1.170834857
24	1.166555635
25	1.161810235
26	1.157187117
27	1.151996835
28	1.147823302
29	1.143515077
30	1.138871086
31	1.135541841
32	1.131130405
33	1.127095653
34	1.123251612
35	1.119383644
36	1.11477029
37	1.111265506
38	1.107636083
39	1.103254658
40	1.10019756
41	1.096528426
42	1.093282116
43	1.089270828
44	1.086115373
45	1.08299737
46	1.080263701
47	1.077299112
48	1.074492503
49	1.071135566
50	1.067879971
51	1.065271549
52	1.063276815
53	1.06010347
54	1.057737804
55	1.055424886
56	1.053012591
57	1.050743663
58	1.048247438
59	1.046097807
60	1.0433979
61	1.040408232
62	1.037495002
63	1.035375364
64	1.032895418
65	1.030912809
66	1.029225211
67	1.025993566
68	1.023661772
69	1.020833858
70	1.018287503
71	1.015785665
72	1.012639234
73	1.0103866
74	1.00801388
75	1.005950248
76	1.002680334
77	1.000171821
78	0.9982228279
79	0.9959878039
80	0.9948854024
81	0.9929813702
82	0.9904584819
83	0.9886824445
84	0.9867236471
85	0.9839813753
86	0.9818108799
87	0.9802433898
88	0.9773246881
89	0.9763880462
90	0.9747133712
91	0.9726774677
92	0.9709761688
93	0.9683481072
94	0.9669433314
95	0.9651125698
96	0.9626906008
97	0.9611140212
98	0.9595655875
99	0.9578080484
100	0.9557293051
101	0.9543124163
102	0.9520473244
103	0.9502699382
104	0.9482763707
105	0.9470053958
106	0.9453850633
107	0.9431339554
108	0.9417446283
109	0.9397123506
110	0.938613872
111	0.9365693169
112	0.9343149057
113	0.9328897902
114	0.931327492
115	0.9298588648
116	0.928707037
117	0.926938772
118	0.925287292
119	0.9234338202
120	0.9219555378
121	0.9209642938
122	0.9193267622
123	0.9178318358
124	0.9163070401
125	0.9144343373
126	0.9129420193
127	0.9108785166
128	0.9094111548
129	0.9083867896
130	0.9069034976
131	0.9057189355
132	0.9049727358
133	0.9032789736
134	0.9018033763
135	0.899551136
136	0.8979564385
137	0.8962890526
138	0.8945490701
139	0.8932161354
140	0.8918805208
141	0.8906413657
142	0.8892130402
143	0.8873530319
144	0.8863746854
145	0.8841638165
146	0.8828939607
147	0.88130586
148	0.8802428129
149	0.8790403074
150	0.8777540539
151	0.8761411813
152	0.8748261138
153	0.8736077179
154	0.8727860482
155	0.8715535385
156	0.8699897543
157	0.8685157675
158	0.8665793756
159	0.8646435586
160	0.862976857
161	0.8611630251
162	0.8598208122
163	0.8587506333
164	0.8563612055
165	0.8552060045
166	0.8540500204
167	0.8527199947
168	0.8515652275
169	0.8501266637
170	0.8481196726
171	0.8471011321
172	0.8451439221
173	0.8434517269
174	0.8421768549
175	0.8407546826
176	0.8392881463
177	0.8373578792
178	0.8361130057
179	0.8348733415
180	0.8332472616
181	0.8322751773
182	0.8313195689
183	0.8295152228
184	0.827834953
185	0.8263529456
186	0.8255059259
187	0.8242214047
188	0.8232408036
189	0.8224000837
190	0.8202924276
191	0.8187043098
192	0.8172594969
193	0.8157804622
194	0.8142964663
195	0.812213841
196	0.8113649904
197	0.809928357
198	0.8086845682
199	0.8070829034
200	0.8052547276
201	0.8041243795
202	0.8029694171
203	0.8014189498
204	0.800197159
205	0.7986171364
206	0.7976930857
207	0.795861367
208	0.7944362131
209	0.7931886239
210	0.7921311933
211	0.7908822933
212	0.7895903975
213	0.7882522341
214	0.7867572777
215	0.7854587432
216	0.7840319053
217	0.7832739763
218	0.7813381434
219	0.7799935795
220	0.7793991631
221	0.7785238405
222	0.7774565132
223	0.7763625967
224	0.7742781035
225	0.7727053526
226	0.7714728451
227	0.7702272964
228	0.7693895507
229	0.7680792913
230	0.7667339374
231	0.7649603419
232	0.763302559
233	0.7618642884
234	0.7607669878
235	0.75950794
236	0.7585028519
237	0.7570510977
238	0.7559280241
239	0.7549019008
240	0.7536638303
241	0.7521846588
242	0.7505763889
243	0.7494853387
244	0.7486276312
245	0.7474860342
246	0.7467788944
247	0.7453836157
248	0.7441727367
249	0.7429277712
250	0.7419422706
251	0.7408046665
252	0.7393347162
253	0.7379719561
254	0.7365223715
255	0.7355142148
256	0.7346241794
257	0.7333460762
258	0.7319656397
259	0.7310108659
260	0.7297035525
261	0.7285634475
262	0.7271826597
263	0.7261648336
264	0.7247915536
265	0.7238413955
266	0.7224718904
267	0.7215174761
268	0.7196507939
269	0.7185614566
270	0.717497874
271	0.7168689986
272	0.7156213878
273	0.7135107009
274	0.7123580556
275	0.7113048273
276	0.7106821183
277	0.7094593203
278	0.7080612095
279	0.7074633501
280	0.7062596904
281	0.7049788049
282	0.7038235388
283	0.7025535616
284	0.7015748994
285	0.7002485034
286	0.698495344
287	0.6977498549
288	0.6965790578
289	0.6955399683
290	0.6945194013
291	0.6934475827
292	0.6923901857
293	0.6911629358
294	0.6898812364
295	0.6889316236
296	0.6879965417
297	0.686675144
