iter	Passed	Remaining
0	2	54240
1	4	42317
2	5	37730
3	6	34874
4	8	33330
5	9	32215
6	11	31947
7	12	31273
8	13	30698
9	15	30297
10	16	30399
11	18	30099
12	19	30044
13	20	29921
14	22	29576
15	23	29518
16	25	29581
17	26	29439
18	28	29606
19	29	29546
20	31	29541
21	32	29612
22	33	29461
23	35	29419
24	36	29254
25	37	29156
26	39	29135
27	40	29080
28	42	29061
29	43	29176
30	45	29141
31	46	29236
32	48	29235
33	49	29082
34	50	29079
35	52	29067
36	53	29040
37	55	28986
38	56	29007
39	58	28972
40	59	29016
41	61	29014
42	62	29033
43	63	29026
44	65	29084
45	67	29125
46	68	29090
47	69	29011
48	71	29054
49	72	29065
50	74	29031
51	75	29041
52	77	29022
53	78	29085
54	80	29056
55	81	29060
56	83	29067
57	84	29105
58	86	29190
59	87	29180
60	89	29191
61	90	29204
62	92	29217
63	93	29195
64	95	29260
65	96	29235
66	98	29260
67	100	29420
68	101	29433
69	103	29392
70	104	29368
71	106	29373
72	107	29346
73	109	29372
74	110	29337
75	112	29380
76	113	29372
77	114	29323
78	116	29405
79	118	29384
80	119	29394
81	120	29372
82	122	29341
83	123	29338
84	125	29316
85	126	29316
86	128	29387
87	129	29391
88	131	29373
89	132	29391
90	134	29364
91	135	29352
92	137	29332
93	138	29303
94	139	29280
95	141	29291
96	142	29303
97	144	29323
98	146	29395
99	147	29402
100	149	29413
101	150	29401
102	152	29376
103	153	29355
104	154	29339
105	156	29320
106	157	29329
107	159	29314
108	160	29309
109	162	29333
110	163	29316
111	165	29328
112	166	29293
113	167	29280
114	169	29281
115	170	29262
116	172	29237
117	173	29222
118	175	29285
119	176	29269
120	178	29293
121	180	29349
122	181	29370
123	183	29351
124	184	29334
125	186	29377
126	187	29368
127	188	29339
128	190	29352
129	192	29370
130	193	29366
131	195	29358
132	196	29327
133	197	29313
134	199	29285
135	200	29273
136	201	29250
137	203	29226
138	204	29207
139	205	29212
140	207	29209
141	208	29202
142	210	29216
143	211	29202
144	213	29212
145	214	29209
146	216	29216
147	217	29200
148	219	29232
149	220	29236
150	222	29229
151	223	29227
152	225	29221
153	226	29250
154	228	29274
155	230	29259
156	231	29269
157	233	29273
158	234	29258
159	236	29274
160	237	29260
161	239	29286
162	240	29301
163	242	29286
164	243	29268
165	244	29254
166	246	29244
167	247	29230
168	249	29221
169	250	29212
170	251	29211
171	253	29191
172	254	29200
173	256	29200
174	257	29187
175	259	29188
176	260	29189
177	261	29166
178	263	29148
179	264	29131
180	265	29117
181	267	29094
182	268	29085
183	269	29070
184	271	29065
185	272	29054
186	274	29032
187	275	29021
188	276	29025
189	278	29018
190	279	29037
191	281	29049
192	282	29037
193	284	29038
194	285	29038
195	287	29027
196	288	29031
197	290	29018
198	291	29025
199	293	29015
200	294	29004
201	295	28997
202	297	28982
203	298	28969
204	299	28955
205	301	28960
206	302	28951
207	304	28949
208	305	28945
209	307	28943
210	308	28947
211	309	28929
212	311	28918
213	312	28912
214	314	28908
215	315	28907
216	316	28895
217	318	28888
218	319	28882
219	321	28890
220	322	28888
221	324	28882
222	325	28888
223	327	28880
224	328	28908
225	330	28912
226	331	28905
227	333	28901
228	334	28895
229	336	28886
230	337	28880
231	339	28899
232	340	28893
233	342	28894
234	343	28897
235	344	28883
236	346	28870
237	347	28859
238	348	28848
239	350	28854
240	351	28859
241	353	28851
242	355	28869
243	356	28860
244	357	28850
245	359	28843
246	360	28838
247	361	28830
248	363	28824
249	364	28816
250	366	28802
251	367	28793
252	368	28792
253	370	28775
254	371	28767
255	372	28755
256	374	28749
257	375	28751
258	377	28755
259	378	28758
260	380	28750
261	381	28751
262	383	28746
263	384	28769
264	386	28763
265	387	28771
266	389	28765
267	390	28756
268	391	28748
269	393	28741
270	394	28735
271	396	28746
272	397	28739
273	399	28746
274	400	28744
275	402	28747
276	403	28751
277	405	28774
278	406	28768
279	408	28769
280	409	28769
281	411	28758
282	412	28749
283	414	28749
284	415	28745
285	416	28736
286	418	28728
287	420	28755
288	421	28747
289	422	28738
290	424	28736
291	425	28728
292	427	28733
293	428	28734
294	430	28726
295	431	28737
296	433	28729
297	434	28718
